,location,date,job,rating,review_title,review_content
702," Calgary, AB ", 19 February 2019,Retail Lending Officer,5.0,Experience with Scotiabank,"I am a passionate individual that carries a professional background of 14 plus years in the financial banking industry. Has accomplished various services and sales positions within Scotiabank. I am known for being highly motivated and easily adaptable to challenging work environments. Has a well-deserved reputation for excellent communication, collaboration, leadership and excellent customer service skills."
703," Scarborough, ON ", 17 February 2019,Business Analyst,5.0,Excellent Place,"Great workplace, people and management focus on your career development and networking opportunities is enormous and very readily available. I love working in this company as it has helped develop alot of my skills I did not have, and the company employment benefits are great."
704," Saskatoon, SK ", 17 February 2019,Customer Service Representative,5.0,Professionalism work environment.,"Not a rotation job.Learn a lot of value knowledge.Able to utilize my skills.Challenging myself with new tasks and skill for the job.Be a team-player in the branch."
705," Calgary, AB ", 15 February 2019,Administration Officer,4.0,Recommend,"Excellent benefits, non-contributory pension and contributory pension available, company matches a percentage of employee ownership savings. Goal oriented."
706," Sault Ste. Marie, ON ", 15 February 2019,Retail Lending Administration Clerk,5.0,Learning possibilitie,"While I was employed there I obtained my certificate for Investment Funds in Canada. Started as a teller and when I left I was a retail lending administration clerk."
707," Toronto, ON ", 14 February 2019,SR. JAVASCRIPT DEVELOPER,4.0,Contractor at Scotia,Not much difference between full-time and contractors. Daily scrums are done. The workload is not intense. Complex codebase when it comes to services and backend
708," Scarborough, ON ", 14 February 2019,Bilingual Customer Service Officer,2.0,Big centre,"Great entry level positions into the financial sector. Fast changing, fast paced environment. Customer Service and Sales driven industry.  Great benefit but the pay isnt the greatest."
709," Toronto, ON ", 13 February 2019,Director,3.0,Scotiabank is Evolving,"Whether we like it or not, the new leadership group is working to instill a different culture, less focused on employee development and support and far more on the bottom line (no longer be ""overly collegial"") . There are positives to both cultural mindsets and I doubt that shareholders are unhappy with the results posted since the change in top leadership at our bank. For many long-serving Scotiabankers the changes are drastic and include many lay-offs and reduced staffing in many departments with the bank looking to automation to offset reductions in the workforce. There are still lots of opportunities to learn and advance: I believe you could have 20 careers with the bank and still not touch half of what the bank does."
710," Toronto, ON ", 13 February 2019,Director,4.0,Increasingly stressful work environment,"Cultural changes in the organization made it challenging.  The company was working to reinvent itself as a technology organization, but did not have the infrastructure and was not prepared to spend.  The foot soldiers were still excellent."
711, CA , 13 February 2019,Advisory Technical Consultant,5.0,Usual work environment like other banks,"Usual work environment like other banks. Similar process, similar bank guidelines, similar security and business measures. In short place worth working."
712," Mississauga, ON ", 12 February 2019,Accounting Clerk,2.0,Worst employer,"No chance of getting hired no matter how much you work hard as a contractor. Managers only focus on their own growth rather than the team's or Bank's growth. Pathetic pay and even worse distribution of work. Workplace culture is a huge discrimination between permanent and contractual employees. On bad weather days, all there employees are told to leave early except contractors...why?...are we not human. They don't include you in any team meetings, emails, training sessions and then later expect you to know and do everything."
713, Name Screening Team (Former Employee) ," Mississauga, ON ",Senior Manager - Name Screening Team,4.0,Management,"Is an stressful place to work, at least on the AML area. My last manager was an individual that does not like see people socializing and by 3 PM was standing at the door to check who was leaving earlier"
